Name Of Hotel,City,Country,Rating,Amenities,Description,Reviews
Hotel Wettstein,Basel,Switzerland, 9.0 ,"Free WiFi, Pets allowed, Family rooms, 
very good fitness centre
, Non-smoking rooms, 24-hour front desk, Tea/coffee maker in all rooms, Bar","The Wettstein hotel is located in a central residential quarter of Basel, 200 yards from the Rhine river, and offers you garage parking, free Wi-Fi and a free internet station.","“Beautiful garden where breakfast is served, nice rooms, nice gym”
“Courteous staff
Location
Cleanliness ..absolutely spotless
Comfortable beds and pillows 
Proper high power hairdryers 
Complimentary mini bar
”
"
25hours Hotel Langstrasse,Zürich,Switzerland, 9.0 ,"Parking, Free WiFi, Pets allowed, Non-smoking rooms, 
good fitness centre
, Restaurant, Bar","Offering a sauna and fitness centre, 25hours Hotel Langstrasse is set in the 4. Aussersihl district in Zürich, in the direct vicinity of the main train station. Guests can enjoy the on-site restaurant.","“I just had a very nice stay. Great Reception personnel - lend me a powerplug adapter twice so I could work in the room. Loved the Roof Trainspotting Place. Due to Corona not so much room cleaning, but that is really understandable. Will come back.”
“The style and location was spot on.  The triple glazed windows made sleeping a pleasure, despite its location the trains.  What I loved most was all the little extra.  This is rare and shows the hotel takes customer satisfaction seriously.  Really enjoyed my stay. Beats all the corporate stuffy hotels in Zurich and good value too.  ”
"
Hotel Staubbach,Lauterbrunnen,Switzerland, 9.0 ,"Free parking, Free WiFi, Family rooms, Non-smoking rooms","Built in the 1890s, this historic hotel was one of the first hotels in Lauterbrunnen. The family-run Hotel Staubbach offers panoramic views of the Staubbach Falls and Lauterbrunnen Valley. It is located 650 yards from the Lauterbrunnen station and offers free parking and free Wi-Fi.","“Great staff and location. Breakfast can do with a bit more variety and decor is a bit old type.”
“The  hotel is on perfect location The view was amazing Clean hotel with friendly staff”
"
Hotel 2B,Schaffhausen,Switzerland, 9.2 ,"Free WiFi, Pets allowed, Non-smoking rooms, Tea/coffee maker in all rooms, Bar","Dating from 1654, this traditional hotel in the historic centre of Schaffhausen is just a 5-minute walk away from the train station. Hotel2B features the restaurant US-Mex and has a bar.","“Uniquely decorated room with comfy bed, lots of space, great location.”
“Large, stylish rooms in the center of town. Parking was easily accessible and the hotel gave us a pass for night which was great. We enjoyed our stay and would recommend this hotel.”
"
Hotel Central Luzern,Luzern,Switzerland, 9.0 ,"Parking, Free WiFi, Family rooms, Non-smoking rooms, Laundry, Lift","Set right in the heart of the bustling Neustadt quarter in the centre of Lucerne, the newly opened neoclassical city Hotel Central Luzern enjoys a quiet location in a side alley, with modern rooms and free WiFi.","“Great hotel, perfect location, next to the train station. The concept of having kitchen opened during the day, where people can have coffee, tea and small snacks all inclusive is great! The hotel staff  was super friendly and helpful, one of the best. Really great hotel to stay. ”
“Super clean and large room with comfortable beds. Staff exceptionally helpful. Breakfast selection was plentiful and delicious.”
"
Hotel one66 (free parking garage),Gallen,Switzerland, 9.1 ,"Free WiFi, Pets allowed, Family rooms, Non-smoking rooms, Free parking, Facilities for disabled guests, Bar","Offering free garage parking, Hotel one66 is located in Sankt Gallen, directly at the motorway exit St. Gallen-Winkeln. The hotel offers rooms with a flat-screen TV and a modern bathroom and free Wi-Fi is provided.","“This hotel is located 2 minutes from the stadium, which was the reason we booked it. 
Very clean and quiet rooms. 
The best thing about this hotel is definately the staff, they are so kind & attentive at all times. 
”
“The room is new and cleanThe bed is very comfortableWifi is working goodThe staff is very nice and helpful”
"
The Bristol,Bern,Switzerland, 9.0 ,"Free WiFi, Pets allowed, Family rooms, Non-smoking rooms, 
good fitness centre
, Restaurant, Bar","Located in the heart of Bern’s Old Town, this modern 4-star hotel is just a 2-minute walk from the Swiss Parliament. It features a fitness centre, a daily breakfast buffet, a bar and lounge area and free WiFi.","“Very friendly staff at arrival, got free water - even chilled already - very friendly at breakfast next day, good selection of breakfast items, even asked separately if we wanted eggs, formidable”
“Wonderful staff and excellent property located minutes from the train station and the parliament. Room was comfortable and very modern. One of the best hotel experiences we’ve had. ”
"
Motel One Basel,Basel,Switzerland, 9.0 ,"Free WiFi, Pets allowed, Family rooms, Non-smoking rooms, 24-hour front desk, Terrace, Bar",Motel One ,"“Extremely helpful and friendly staff. Terrific location - close to shops, museums, restaurants, cafes, and transit. Nice big lobby/bar area. Comfortable bed.”
“very nice, modern, clean city hotel in the heart of Basel with all confort. well equipped comfortable rooms.”
"
Davos INN,Davos,Switzerland, 9.0 ,"Free WiFi, 
good fitness centre
, Skiing, Non-smoking rooms, Free parking","Located in Davos in the Grisons Region, 550 yards from Davos Congress Centre, Davos Inn features a terrace and ski storage space.","“Superfriendly staff and free gym/excercise room”
“Super friendly service
Little extras everywhere such as free parking included and complimentary water bottles in the room and to take away.
The breakfast is really yummy and served in a beautiful historic salon.”
"
citizenM Zürich,Zürich,Switzerland, 9.0 ,"Free WiFi, Non-smoking rooms, Restaurant, Facilities for disabled guests, 24-hour front desk, Daily housekeeping, Bar",This 4-star hotel is conveniently located in the centre of Zürich. A bar and a restaurant are available at citizenM Zürich.,"“The room was nicely designed, making the most out of limited space. The bed was excellent, we slept really well.”
“The room we booked was fabulous. We liked every detail.  Breakfast was good, due to covid no buffet, but nothing to do about that. Very easy check in and check out. Wifi was working good, staff was very friendly!”
"
